iter	MultiClass
0	1.773179005
1	1.755576108
2	1.731957453
3	1.700659949
4	1.673400069
5	1.650466794
6	1.623343614
7	1.600875185
8	1.579762247
9	1.557645323
10	1.536881587
11	1.519420095
12	1.502859877
13	1.483180177
14	1.462741224
15	1.443534547
16	1.428512468
17	1.411493453
18	1.393271191
19	1.377119389
20	1.362980235
21	1.338736674
22	1.30963916
23	1.289159654
24	1.27345361
25	1.258811532
26	1.237577389
27	1.224325897
28	1.212441347
29	1.19662776
30	1.181698962
31	1.170272884
32	1.154777644
33	1.144136194
34	1.128978099
35	1.109556563
36	1.09810014
37	1.088451573
38	1.077774541
39	1.05859675
40	1.041886142
41	1.025583564
42	1.011893381
43	1.000519859
44	0.9886783727
45	0.9753166889
46	0.964038
47	0.9545449184
48	0.9411816634
49	0.9287715501
50	0.9190933264
51	0.9070963641
52	0.8957116336
53	0.88601024
54	0.8728482833
55	0.8612983001
56	0.8520197761
57	0.8437052359
58	0.8352807632
59	0.8218674775
60	0.8123950307
61	0.8033720648
62	0.7942779477
63	0.7835835671
64	0.7741556182
65	0.7653643189
66	0.756978793
67	0.7475136442
68	0.7388490588
69	0.7291569549
70	0.7191508433
71	0.7095402753
72	0.7017291113
73	0.6930375165
74	0.6824617179
75	0.6716280117
76	0.6597036395
77	0.6522435164
78	0.642689745
79	0.6340076355
80	0.6259613942
81	0.6176594875
82	0.6098958087
83	0.5998143595
84	0.5930809612
85	0.5841650813
86	0.5750746601
87	0.5662051685
88	0.5591989472
89	0.5524290966
90	0.5436080375
91	0.5363956464
92	0.5281238513
93	0.5202733153
94	0.5118632187
95	0.503907602
96	0.4971035393
97	0.4912308539
98	0.4849132154
99	0.4773217403
100	0.4712574205
101	0.4655127491
102	0.4597809536
103	0.4540212196
104	0.447379826
105	0.4409347325
106	0.4357715365
107	0.4288025175
108	0.4234292125
109	0.4178457339
110	0.413284988
111	0.408251551
112	0.4030941552
113	0.3978391484
114	0.392394325
115	0.3868319478
116	0.3817497862
117	0.3753223633
118	0.3713774553
119	0.3663553154
120	0.3611689006
121	0.3572900054
122	0.3520024009
123	0.3477708829
124	0.344167908
125	0.340966016
126	0.3376030111
127	0.3330433688
128	0.3288163837
129	0.3239282928
130	0.3203944253
131	0.3167580052
132	0.3136251937
133	0.3096985933
134	0.306695577
135	0.3035979408
136	0.2986535559
137	0.2956404181
138	0.2931153865
139	0.2889691547
140	0.2855205394
141	0.2823143167
142	0.2797818915
143	0.2769105216
144	0.273803063
145	0.2711225699
146	0.2684368421
147	0.2656167542
148	0.2631824491
149	0.260430925
150	0.2582521135
151	0.2561859276
152	0.253549938
153	0.2513391351
154	0.2487588151
155	0.2465213353
156	0.2441810778
157	0.2416029997
158	0.2388548309
159	0.2362132096
160	0.2335201044
161	0.2309471761
162	0.2289438064
163	0.2271164355
164	0.2253308428
165	0.2239344195
166	0.2220886467
167	0.2203292549
168	0.2185576997
169	0.2166189915
170	0.2147276014
171	0.2127906457
172	0.2115285152
173	0.2094694604
174	0.2079722241
175	0.2062855401
176	0.2048639201
177	0.2029615243
178	0.2013242244
179	0.1994310031
180	0.1980215197
181	0.1965793433
182	0.1954157843
183	0.1940488957
184	0.192595621
185	0.190878176
186	0.1891184903
187	0.1874719914
188	0.186099413
189	0.1846727365
190	0.1833987275
191	0.1816431425
192	0.1800247608
193	0.1784326716
194	0.1772982559
195	0.1760041687
196	0.1749479883
197	0.1735324891
198	0.1723657109
199	0.1710619889
200	0.170017071
201	0.1689247232
202	0.1676323863
203	0.1666628563
204	0.1656302072
205	0.1646011468
206	0.1632350926
207	0.1620698968
208	0.1608743301
209	0.1596326103
210	0.1584727943
211	0.1574601335
212	0.1565203466
213	0.1555173511
214	0.1545087643
215	0.1534396849
216	0.1521979098
217	0.1513148142
218	0.1504017789
219	0.1494728854
220	0.148425253
221	0.1473579551
222	0.1465147511
223	0.1457328759
224	0.1447243134
225	0.1437500181
226	0.1428572319
227	0.141877495
228	0.1409056462
229	0.1401000418
230	0.1391259435
231	0.1381667971
232	0.1373113401
233	0.1364914659
234	0.1356579523
235	0.1346066812
236	0.1338933675
237	0.1329512726
238	0.1322796488
239	0.1316984458
240	0.1309481143
241	0.1300974664
242	0.1292034173
243	0.1283251584
244	0.1274629926
245	0.1265148325
246	0.1255688999
247	0.1248381441
248	0.1243670493
249	0.1234127658
250	0.1226994258
251	0.1219127177
252	0.1212307517
253	0.1203725938
254	0.1196080046
255	0.1191086718
256	0.1184248998
257	0.1177433439
258	0.1170302468
259	0.1162993119
260	0.1156532617
261	0.1149161039
262	0.114397241
263	0.1137066081
264	0.1130090976
265	0.112564785
266	0.1120828089
267	0.1114162205
268	0.1108525146
269	0.1101991561
270	0.1095429169
271	0.1090198848
272	0.1084551847
273	0.107869948
274	0.1073076212
275	0.1067306164
276	0.1062569323
277	0.1056910684
278	0.1051117272
279	0.1046146987
280	0.1040082588
281	0.1033650207
282	0.1028070053
283	0.1022352984
284	0.1016853803
285	0.1012863235
286	0.1008303265
287	0.1004282077
288	0.1000300412
289	0.0994911181
290	0.09908267032
291	0.09859138627
292	0.09830922405
293	0.09777819412
294	0.09734755308
295	0.0968632221
296	0.09650167807
297	0.09599883979
298	0.09565844925
299	0.0952321485
300	0.09472017621
301	0.09424774073
302	0.09380257072
303	0.09340969261
304	0.09305080651
305	0.09257474329
306	0.09198870993
307	0.0915566358
308	0.09122338241
309	0.09088574102
310	0.09048481714
311	0.08997248242
312	0.0896922579
313	0.08930177057
314	0.08890907098
315	0.08837426295
316	0.08796630454
317	0.0876315402
318	0.08726726682
319	0.08696046466
320	0.08653677581
321	0.08608771941
322	0.08558681802
323	0.08527782025
324	0.08488808857
325	0.0845603827
326	0.08412573257
327	0.08379368185
328	0.08338652034
329	0.08304069438
330	0.08271979711
331	0.08244278274
332	0.08222252675
333	0.08183251601
334	0.0814694014
335	0.08108136629
336	0.08081566124
337	0.0804177497
338	0.08006588836
339	0.07977897455
340	0.07945635951
341	0.0791719285
342	0.07888780159
343	0.07858709525
344	0.07827138427
345	0.07801291385
346	0.07766736517
347	0.07744945005
348	0.07722668795
349	0.07695013674
350	0.07669199065
351	0.07646730047
352	0.07623709654
353	0.07593327418
354	0.07566116971
355	0.07531210268
356	0.07504178988
357	0.07468870924
358	0.07447174909
359	0.07416553465
360	0.07390702399
361	0.07359826115
362	0.0733651058
363	0.07311186208
364	0.07285105923
365	0.07258962126
366	0.07228293961
367	0.0720112731
368	0.07176548007
369	0.07152405355
370	0.07128900162
371	0.07096798749
372	0.07069882597
373	0.07049808003
374	0.07018758554
375	0.06999575907
376	0.06973449099
377	0.06949953388
378	0.06920379886
379	0.06902658548
380	0.06874588667
381	0.0685162959
382	0.06828579565
383	0.06804610471
384	0.06777388001
